name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Bryce Mitchell,0,90,400,75,0,0,25,89,0
Dan Ige,300,90,240,0,140,0,150,119,50
Bryan Battle,200,180,80,0,0,0,25,81,0
AJ Fletcher,0,90,0,0,0,0,75,1,0
Marina Rodriguez,200,0,320,0,70,0,75,337,75
Michelle Waterson-Gomez,0,180,160,0,140,0,200,129,100
Cody Brundage,100,90,0,0,0,0,100,31,0
Dan Argueta,0,0,80,0,0,50,25,33,0
Jacob Malkoun,0,0,240,0,0,0,75,109,0
Charles Jourdain,200,180,160,0,0,0,125,280,0
Miles Johns,200,0,80,0,70,50,50,93,0
Ricardo Ramos,200,90,240,0,70,0,100,24,0
Mateusz Gamrot,300,90,80,0,70,0,50,45,50
Rafael Fiziev,300,0,240,0,0,0,75,46,50
Mohammed Usman,100,0,160,0,0,0,0,0,0
Jake Collier,100,90,160,0,70,0,225,161,0
Tim Means,600,180,480,0,70,0,300,444,0
Andre Fialho,200,0,0,0,0,0,125,8,0
Mizuki,0,0,80,0,70,0,25,8,0
Hannah Goldy,0,90,0,0,0,0,100,5,0
Daniel Zellhuber,0,90,80,0,0,0,25,27,0
Christos Giagos,100,180,240,0,0,0,175,65,0
Jack Della Maddalena,300,90,0,0,140,0,0,111,0
Kevin Holland,500,360,80,0,140,0,175,306,100
Montserrat Rendon,0,0,0,0,70,0,0,9,0
Tamires Vidal,100,0,0,0,0,0,25,4,0
Raul Rosas Jr.,100,90,0,0,0,0,25,12,0
Terrence Mitchell,0,0,0,0,0,0,50,0,0
Kyle Nelson,100,0,160,0,0,0,100,35,0
Fernando Padilla,100,0,0,0,0,0,25,5,0
Charlie Campbell,100,0,0,0,0,0,0,29,0
Alex Reyes,0,0,0,0,0,0,50,0,0
Josefine Knutsson,0,0,80,0,0,0,0,73,0
Marnic Mann,0,0,0,0,0,0,25,0,0
Loopy Godinez,0,180,240,0,70,0,75,107,0
