name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Bryce Mitchell,0,90,400,75,0,0,25,89,0,,140000209
Dan Ige,300,90,240,0,140,0,150,119,50,,140000178
Bryan Battle,200,180,80,0,0,0,25,81,0,,140001185
AJ Fletcher,0,90,0,0,0,0,75,1,0,,140001146
Marina Rodriguez,200,0,320,0,70,0,75,337,75,,140000235
Michelle Waterson-Gomez,0,180,160,0,140,0,200,129,100,,140000240
Cody Brundage,100,90,0,0,0,0,100,31,0,,140001011
Dan Argueta,0,0,80,0,0,50,25,33,0,,140001447
Jacob Malkoun,0,0,240,0,0,0,75,109,0,,140001045
Charles Jourdain,200,180,160,0,0,0,125,280,0,,140000358
Miles Johns,200,0,80,0,70,50,50,93,0,,140000424
Ricardo Ramos,200,90,240,0,70,0,100,24,0,,140000029
Mateusz Gamrot,300,90,80,0,70,0,50,45,50,,140001053
Rafael Fiziev,300,0,240,0,0,0,75,46,50,,140000269
Mohammed Usman,100,0,160,0,0,0,0,0,0,,140001511
Jake Collier,100,90,160,0,70,0,225,161,0,,140000902
Tim Means,600,180,480,0,70,0,300,444,0,,140000168
Andre Fialho,200,0,0,0,0,0,125,8,0,,140001361
Mizuki,0,0,80,0,70,0,25,8,0,,
Hannah Goldy,0,90,0,0,0,0,100,5,0,,140000409
Daniel Zellhuber,0,90,80,0,0,0,25,27,0,,140001213
Christos Giagos,100,180,240,0,0,0,175,65,0,,140000384
Jack Della Maddalena,300,90,0,0,140,0,0,111,0,,140001190
Kevin Holland,500,360,80,0,140,0,175,306,100,,140000229
Montserrat Rendon,0,0,0,0,70,0,0,9,0,,140005077
Tamires Vidal,100,0,0,0,0,0,25,4,0,,140001646
Raul Rosas Jr.,100,90,0,0,0,0,25,12,0,,140001630
Terrence Mitchell,0,0,0,0,0,0,50,0,0,,140005011
Kyle Nelson,100,0,160,0,0,0,100,35,0,,140000315
Fernando Padilla,100,0,0,0,0,0,25,5,0,,140001710
Charlie Campbell,100,0,0,0,0,0,0,29,0,,140001455
Alex Reyes,0,0,0,0,0,0,50,0,0,,140001698
Josefine Knutsson,0,0,80,0,0,0,0,73,0,,140001439
Marnic Mann,0,0,0,0,0,0,25,0,0,,140001620
Loopy Godinez,0,180,240,0,70,0,75,107,0,,
Elise Reed,0,0,160,0,70,0,100,41,0,,140001131
Roman Kopylov,400,0,0,0,0,0,50,74,0,,140000645
Josh Fremd,0,90,80,0,0,0,75,44,0,,140001408
Manel Kape,200,0,160,0,0,0,50,67,0,,140000959
Felipe dos Santos,0,0,0,0,0,0,25,0,0,,140005044
Sean Strickland,400,90,560,0,210,0,125,547,150,,140000741
Israel Adesanya,500,0,560,0,70,0,75,325,300,,140000074
Tracy Cortez,0,0,320,0,70,0,0,92,0,,140000509
Jasmine Jasudavicius,0,0,240,0,0,0,50,10,0,,140001189
Alexander Volkov,600,90,240,0,70,0,100,490,175,,140000647
Tai Tuivasa,700,0,80,0,0,0,150,94,50,,140000400
Tyson Pedro,400,180,0,0,0,0,100,50,0,,140000688
Anton Turkalj,0,0,0,0,0,0,75,0,0,,140001251
Justin Tafa,400,0,0,0,0,0,75,19,0,,140000627
Austen Lane,0,0,0,0,0,0,25,0,0,,140000765
Carlos Ulberg,300,90,80,0,0,0,25,172,0,,140001056
Da Woon Jung,200,90,80,0,0,0,75,22,0,,140000585
Jamie Mullarkey,200,0,160,0,70,0,100,104,0,,140000624
John Makdessi,300,0,480,0,140,0,225,391,0,,140000216
Nasrat Haqparast,100,0,480,0,0,0,100,240,0,,140000520
Landon Quinones,0,0,0,0,0,0,25,0,0,,
Chepe Mariscal,100,0,80,0,0,0,0,20,0,,140005004
Jack Jenkins,0,0,80,0,70,0,25,37,0,,140001636
Gabriel Miranda,0,90,0,0,0,0,25,1,0,,140001596
Shane Young,100,0,80,0,0,0,125,90,0,,140000061
Charles Radtke,0,0,80,0,0,0,0,0,0,,140005028
Blood Diamond,0,0,0,0,0,0,75,47,0,,140001360
Kevin Jousset,0,90,0,0,0,0,0,0,0,,140005080
Kiefer Crosbie,0,0,0,0,0,0,25,10,0,,140001151
Ciryl Gane,400,180,240,0,0,0,50,514,175,,140000534
Serghei Spivac,300,180,80,75,0,0,100,125,50,,140000324
Manon Fiorot,200,0,320,0,0,0,0,214,0,,140001096
Rose Namajunas,200,270,160,0,140,0,125,114,200,,140000350
Benoit Saint Denis,200,180,0,0,0,0,25,99,0,,
Morgan Charriere,100,0,0,0,0,0,0,17,0,,
Thiago Moises,0,270,240,0,0,0,125,31,25,,140000341
Manolo Zecchini,0,0,0,0,0,0,25,0,0,,140005063
William Gomis,100,0,80,0,70,0,0,48,0,,140001614
Yanis Ghemmouri,0,0,0,0,0,0,25,0,0,,140005032
Volkan Oezdemir,300,90,80,0,140,0,150,147,50,,140000192
Bogdan Guskov,0,0,0,0,0,0,25,0,0,,140005076
Taylor Lapilus,100,0,240,0,0,0,25,138,0,,140001567
Caolan Loughran,0,0,0,0,0,0,25,0,0,,
Nora Cornolle,0,0,80,0,0,0,0,22,0,,140005008
Ange Loosa,0,0,160,0,0,0,25,63,0,,140001191
Joselyne Edwards,0,0,160,0,140,0,75,183,0,,140001097
Rhys McKee,0,0,0,0,0,0,75,0,0,,140000947
Farid Basharat,0,90,80,0,0,0,0,12,0,,140001498
Kleydson Rodrigues,100,0,0,0,0,0,50,26,0,,
Jacqueline Cavalcanti,0,0,80,0,0,0,0,87,0,,140005078
Zarah Fairn,0,0,0,0,0,0,100,15,0,,140000626
Max Holloway,900,180,640,0,70,0,175,1240,350,,140000267
Chan Sung Jung,400,180,80,0,0,0,125,111,250,,140000421
Anthony Smith,500,360,80,0,70,0,200,95,175,,140000147
Ryan Spann,300,180,80,0,70,0,100,39,25,,140000343
Giga Chikadze,300,0,240,0,140,0,25,127,50,,140000617
Alex Caceres,100,360,560,0,210,0,300,516,25,,140000091
Erin Blanchfield,0,270,240,0,0,0,0,144,25,,140001116
Taila Santos,0,90,240,0,0,0,75,74,25,,140000037
Rinya Nakamura,100,0,80,0,0,0,0,28,0,,140001440
Fernie Garcia,0,0,0,0,0,0,75,2,0,,140001248
Waldo Cortes-Acosta,100,0,160,0,0,0,25,122,0,,140001501
Lukasz Brzeski,0,0,0,0,0,0,75,52,0,,140001144
Junior Tafa,100,0,0,0,0,0,25,21,0,,140001676
Parker Porter,100,0,240,0,0,0,100,55,0,,140000991
Garrett Armfield,100,0,0,0,0,0,25,30,0,,140001491
Toshiomi Kazama,0,0,0,0,0,0,50,0,0,,140001425
Michal Oleksiejczuk,600,0,0,0,70,0,100,80,0,,140000120
Chidi Njokuani,200,0,0,0,0,0,75,18,0,,140001174
JJ Aldrich,100,0,480,0,70,0,125,109,0,,140000210
Liang Na,0,0,0,0,0,0,75,0,0,,140001112
Song Kenan,300,0,160,0,0,0,75,48,0,,140000590
Rolando Bedoya,0,0,0,0,0,0,50,56,0,,140001702
Sean O'Malley,600,0,160,0,70,0,25,401,25,,140000711
Aljamain Sterling,200,360,480,0,140,0,100,595,125,,140000086
SeungWoo Choi,100,0,240,0,0,0,125,109,0,,140000278
Jarno Errens,0,0,0,0,0,0,50,0,0,,140001615
Billy Goff,100,0,0,0,0,0,0,23,0,,140001500
Yusaku Kinoshita,0,0,0,0,0,0,50,0,0,,140001577
Zhang Weili,200,180,240,0,70,0,50,335,150,,140000141
Amanda Lemos,300,180,80,0,70,0,75,78,75,,140000886
Marlon Vera,700,360,320,0,0,0,175,139,75,,140000207
Pedro Munhoz,300,270,320,0,0,0,200,161,25,,140000138
Ian Machado Garry,300,0,240,0,0,0,0,212,0,,140001217
Neil Magny,500,180,880,0,210,0,250,594,75,,140000752
Mario Bautista,100,270,240,0,0,0,50,101,0,,140000008
Da'Mon Blackshear,100,90,0,0,0,0,50,59,0,,140001535
Brad Tavares,200,0,800,0,210,0,200,290,25,,140000729
Chris Weidman,400,270,320,0,0,0,175,116,200,,140000639
Kurt Holobaugh,0,90,0,0,0,0,100,41,0,,140000340
Austin Hubbard,0,0,160,0,0,0,125,100,0,,140000362
