name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Max Holloway,900,180,640,0,70,0,175,1240,350,3205,140000267
Georges St-Pierre,500,270,800,0,140,0,50,831,375,2866,140004733
Jon Jones,500,540,720,0,70,0,25,683,375,2863,140000146
Michael Bisping,1000,0,640,0,140,0,225,662,275,2492,140004732
Donald Cerrone,1000,540,560,0,0,0,350,375,225,2350,140000013
Dustin Poirier,900,360,480,75,0,0,175,405,300,2345,140000266
Rafael Dos Anjos,400,450,880,0,70,0,325,485,350,2310,140000368
Andrei Arlovski,900,180,720,0,210,0,400,396,200,2206,140000298
Neil Magny,500,180,880,0,210,0,250,594,75,2189,140000752
Amanda Nunes,700,270,400,0,70,0,50,480,300,2170,140000446
Demetrious Johnson,200,450,560,0,70,0,50,577,350,2157,140000835
Jim Miller,600,990,480,0,140,0,400,292,50,2152,140000292
Charles Oliveira,400,1440,160,0,0,0,225,194,150,2119,140000045
Frankie Edgar,400,180,800,0,70,0,275,586,350,2111,140000504
Anderson Silva,1100,270,240,0,0,0,175,294,375,2104,140000073
Kamaru Usman,400,90,800,0,0,0,50,555,250,2045,140000145
Junior Dos Santos,1000,0,400,0,0,0,200,534,300,2034,140000172
Derrick Lewis,1400,0,160,0,140,0,225,287,250,2012,140000173
Alexander Volkanovski,500,0,560,0,70,0,25,697,175,1977,140000347
Randy Couture,600,360,320,75,0,0,200,454,350,1959,140004115
Demian Maia,100,990,640,75,70,0,275,179,175,1954,140000047
Matt Hughes,600,450,400,0,0,0,175,343,300,1918,140004279
Joanna Jedrzejczyk,200,0,560,0,70,0,125,894,275,1874,140000634
Lyoto Machida,700,90,480,0,140,0,200,361,300,1871,140000681
Sean Strickland,400,90,560,0,210,0,125,547,150,1832,140000741
Stipe Miocic,900,0,400,0,0,0,100,327,300,1827,140000558
Jessica Andrade,500,270,480,0,70,0,250,601,150,1821,140000349
Nate Diaz,200,900,240,0,70,0,275,504,175,1814,140000557
Aljamain Sterling,200,360,480,0,140,0,100,595,125,1800,140000086
Robert Whittaker,500,0,720,0,70,0,125,421,175,1761,140000630
TJ Dillashaw,700,90,320,0,70,0,125,472,225,1752,140000025
Rich Franklin,800,90,320,0,0,0,150,501,175,1736,140004096
Matt Brown,1300,180,160,0,0,0,325,362,50,1727,140000653
Cain Velasquez,1000,0,160,0,0,0,75,467,175,1727,140000097
Israel Adesanya,500,0,560,0,70,0,75,325,300,1680,140000074
Chuck Liddell,900,0,480,0,0,0,175,281,175,1661,140003828
Glover Teixeira,500,630,160,0,70,0,175,224,250,1659,140000015
Valentina Shevchenko,400,180,320,0,140,0,75,380,300,1645,140000402
Thiago Santos,1100,0,240,0,0,0,250,376,175,1641,140000124
Khabib Nurmagomedov,200,450,480,0,0,0,0,410,100,1640,140000601
