name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Paddy Pimblett,100,180,240,0,0,0,0,114,0
Kazula Vargas,0,0,80,0,0,0,75,71,0
Jared Rosholt,100,0,400,0,0,0,50,90,0
Josh Copeland,0,0,0,0,0,0,50,0,0
Joshua Burkman,100,90,240,0,70,100,350,90,0
Josh Neer,0,270,160,0,0,0,225,146,0
Holly Holm,200,0,400,0,70,50,150,228,250
Irene Aldana,300,90,320,0,70,0,125,121,50
Alistair Overeem,2900,1260,480,75,0,100,600,1009,300
Stefan Struve,500,540,80,75,0,0,275,102,50
Rich Franklin,1400,810,320,0,0,100,200,577,175
David Loiseau,200,0,0,0,0,0,125,44,25
Tony Ferguson,300,540,240,0,70,0,225,355,100
Katsunori Kikuno,400,90,240,0,0,0,175,103,0
Nordine Taleb,200,0,320,0,70,0,125,166,0
Kyle Prepolec,0,0,0,0,0,0,50,0,0
Carlos Condit,600,720,240,0,70,0,300,419,350
Matt Brown,1300,180,160,0,0,0,325,362,50
Rory MacDonald,300,90,400,0,0,0,100,267,75
Jordan Mein,400,0,320,0,70,0,150,225,0
Rameau Thierry Sokoudjou,900,0,0,0,0,0,250,136,0
Kazuhiro Nakamura,400,360,1280,0,0,0,400,274,0
Beneil Dariush,300,450,480,0,140,0,175,255,50
Rashid Magomedov,100,0,240,0,70,0,25,141,0
Urijah Faber,500,1620,480,0,0,0,325,463,600
Michael McDonald,200,360,80,0,70,0,125,62,50
Cole Miller,100,630,160,0,0,100,225,77,0
Andy Ogle,0,0,80,0,0,0,125,25,0
Edson Barboza,900,0,640,75,70,0,275,267,125
Rafaello Oliveira,0,0,160,0,0,0,150,22,0
Amir Sadollah,100,90,240,0,70,0,125,228,0
Li Jingliang,800,0,160,0,70,0,150,244,0
CB Dollaway,200,180,400,0,70,0,225,138,25
Dhiego Lima,100,0,80,0,140,0,175,55,0
Zhang Lipeng,0,0,80,0,70,0,50,4,0
Brendan O'Reilly,0,0,80,0,0,0,75,4,0
Jorge Rivera,500,0,160,0,70,0,225,185,0
Eric Schafer,100,180,0,0,0,0,150,36,0
Tim Boetsch,700,0,240,0,140,0,300,198,25
Ramsey Nijem,200,0,240,0,0,0,125,137,0
Joe Lauzon,500,630,80,0,70,0,300,84,0
Todd Brown,0,0,0,0,0,0,50,0,0
CJ Keith,0,0,0,0,0,0,50,0,0
Marcin Held,0,0,80,0,0,0,75,20,0
Chad Laprise,300,0,160,0,70,0,100,122,0
